program,type,directed,batch,nodes,modifier,diameter,time,clocktime,system,percent,memory,voluntary,involuntary,faults,exit
gl,er,1,0,10,16,0,0.081938,6.93101,0.16,1427%,34548,1018,755,0,0
gtp,er,1,0,10,16,,,,0.13,77%,62644,52,153,0,0
glp,er,1,0,10,16,0,1.99068,111.587,2.52,4322%,27780,63497,50874,0,0
nx,er,0,1,10,16,,,,0.54,64%,26240,85,42,0,1
gl,er,0,1,10,16,0,0.012295,1.93741,0.18,888%,21424,981,577,0,0
gtp,er,0,1,10,16,,,,0.15,78%,62648,45,165,0,0
glp,er,0,1,10,16,0,1.96763,105.672,2.80,4195%,24108,65043,52177,0,0
nx,er,1,1,10,16,,,,0.52,64%,26244,89,59,0,1
gl,er,1,1,10,16,0,0.019069,1.23247,0.17,686%,35620,1056,637,0,0
gtp,er,1,1,10,16,,,,0.16,78%,62644,53,185,0,0
glp,er,1,1,10,16,0,1.58379,88.0639,2.45,4045%,22044,63906,51361,0,0
nx,er,0,2,10,16,,,,0.51,67%,26244,86,58,0,1
gl,er,0,2,10,16,0,0.016919,2.84437,0.34,995%,20364,979,416,0,0
gtp,er,0,2,10,16,,,,0.14,78%,62652,52,195,0,0
glp,er,0,2,10,16,0,2.1915,114.427,2.63,4142%,24144,65250,48583,0,0
nx,er,1,2,10,16,,,,0.50,69%,26240,65,73,0,1
gl,er,1,2,10,16,0,0.013249,2.08822,0.33,790%,21568,1024,723,0,0
gtp,er,1,2,10,16,,,,0.17,78%,62644,52,125,0,0
glp,er,1,2,10,16,0,1.62301,89.3014,2.24,4102%,28180,63835,51760,0,0
nx,er,0,3,10,16,,,,0.45,65%,26244,97,51,0,1
gl,er,0,3,10,16,0,0.033347,3.92636,0.29,1063%,22192,1094,808,0,0
gtp,er,0,3,10,16,,,,0.15,76%,62652,54,160,0,0
glp,er,0,3,10,16,0,1.32248,75.2829,1.91,3990%,22476,63117,47727,0,0
nx,er,1,3,10,16,,,,0.49,63%,26244,103,54,0,1
gl,er,1,3,10,16,0,0.012956,1.36256,0.14,748%,27772,1002,539,0,0
gtp,er,1,3,10,16,,,,0.16,77%,62644,52,143,0,0
glp,er,1,3,10,16,0,1.40385,79.6385,2.04,4014%,24992,62891,47640,0,0
nx,er,0,4,10,16,,,,0.42,51%,26244,111,49,0,1
gl,er,0,4,10,16,0,0.090209,5.38279,0.17,1159%,21580,1159,674,0,0
gtp,er,0,4,10,16,,,,0.15,77%,62652,53,153,0,0
glp,er,0,4,10,16,0,1.39116,79.0715,2.28,4065%,32476,63008,49631,0,0
nx,er,1,4,10,16,,,,0.53,64%,26244,93,57,0,1
gl,er,1,4,10,16,0,0.011409,0.897295,0.27,596%,20432,928,398,0,0
gtp,er,1,4,10,16,,,,0.13,77%,62644,53,183,0,0
glp,er,1,4,10,16,0,1.40794,80.6211,2.23,4091%,31692,63028,50091,0,0
nx,er,0,0,10,32,,,,0.51,51%,26244,129,62,0,1
gl,er,0,0,10,32,0,0.01271,2.58391,0.13,890%,36092,822,463,0,0
gtp,er,0,0,10,32,,,,0.16,77%,62652,50,141,0,0
glp,er,0,0,10,32,0,1.5623,88.3214,2.50,4093%,34172,64076,49789,0,0
nx,er,1,0,10,32,,,,0.41,61%,26240,82,59,0,1
gl,er,1,0,10,32,0,0.016157,1.01457,0.15,528%,24616,907,368,0,0
gtp,er,1,0,10,32,,,,0.15,77%,62644,53,141,0,0
glp,er,1,0,10,32,0,2.06634,111.879,2.39,4191%,30216,64897,49054,0,0
nx,er,0,1,10,32,,,,0.52,60%,26244,113,67,0,1
